"%s sliders were not deleted for some errors.","%s sliders were not deleted for some errors."
"%s sliders were not duplicated for some errors.","%s sliders were not duplicated for some errors."
"%s sliders were not updated for some errors.","%s sliders were not updated for some errors."
"%s sliders were successfully deleted.","%s sliders were successfully deleted."
"%s sliders were successfully duplicated.","%s sliders were successfully duplicated."
"%s sliders were successfully updated.","%s sliders were successfully updated."
"%s slides were not deleted for some errors.","%s slides were not deleted for some errors."
"%s slides were not duplicated for some errors.","%s slides were not duplicated for some errors."
"%s slides were not updated for some errors.","%s slides were not updated for some errors."
"%s slides were successfully deleted.","%s slides were successfully deleted."
"%s slides were successfully duplicated.","%s slides were successfully duplicated."
"%s slides were successfully updated.","%s slides were successfully updated."
"Action","Action"
"Add Slide","Add Slide"
"Add Slider","Add Slider"
"Are you sure?","Are you sure?"
"Autohide Controls","Autohide Controls"
"Back to Manage Sliders","Back to Manage Sliders"
"Back to Slider","Back to Slider"
"CMS Block Snippet","CMS Block Snippet"
"CMS Widget Snippet","CMS Widget Snippet"
"Content","Content"
"Controls","Controls"
"Created At","Created At"
"Created at","Created at"
"Default","Default"
"Define Slider Size","Define Slider Size"
"Delete Slide","Delete Slide"
"Delete Slider","Delete Slider"
"Delete Slides","Delete Slides"
"Delete","Delete"
"Disabled","Disabled"
"Display Captions","Display Captions"
"Display From","Display From"
"Display Pager","Display Pager"
"Display Play/Pause Button","Display Play/Pause Button"
"Display To","Display To"
"Does not work with Fade type","Does not work with Fade type"
"Duplicate Slides","Duplicate Slides"
"Duplicate","Duplicate"
"Ease In Back","Ease In Back"
"Ease In Out Circ","Ease In Out Circ"
"Ease In Out Elastic","Ease In Out Elastic"
"Ease In Quad","Ease In Quad"
"Ease Out Bounce","Ease Out Bounce"
"Ease Out Quad","Ease Out Quad"
"Easing","Easing"
"Edit Slide","Edit Slide"
"Edit","Edit"
"Elegant","Elegant"
"Emerald","Emerald"
"Enabled","Enabled"
"Export to:","Export to:"
"Fade","Fade"
"General","General"
"Glass","Glass"
"Height","Height"
"Height:","Height:"
"Hidden","Hidden"
"Horizontal","Horizontal"
"ID","ID"
"Is hidden since %s","Is hidden since %s"
"It will delete this slider and all slides. Are you sure?","It will delete this slider and all slides. Are you sure?"
"Look and Feel","Look and Feel"
"Manage Sliders","Manage Sliders"
"Manage Slides","Manage Slides"
"Metro","Metro"
"Name","Name"
"New Slide in '%s'","New Slide in '%s'"
"New Slider","New Slider"
"Next page","Next page"
"Next","Next"
"No Effect","No Effect"
"No","No"
"None","None"
"Page","Page"
"Please save the Slider to add Slides.","Please save the Slider to add Slides."
"Position","Position"
"Prev","Prev"
"Previous page","Previous page"
"Properties and Style","Properties and Style"
"Responsive","Responsive"
"Save And Continue Edit","Save And Continue Edit"
"Save And Manage Slides","Save And Manage Slides"
"Save Slide","Save Slide"
"Save Slider","Save Slider"
"Select All","Select All"
"Select Visible","Select Visible"
"Select a slider...","Select a slider..."
"Shady","Shady"
"Shuffle","Shuffle"
"Simple","Simple"
"Size Settings","Size Settings"
"Size","Size"
"Slide Name","Slide Name"
"Slide Show Direction","Slide Show Direction"
"Slide Show Pause","Slide Show Pause"
"Slide Show Properties","Slide Show Properties"
"Slide Show Speed","Slide Show Speed"
"Slide Show","Slide Show"
"Slide could not be deleted for some error.","Slide could not be deleted for some error."
"Slide could not be duplicated for some error.","Slide could not be duplicated for some error."
"Slide could not be saved for some error.","Slide could not be saved for some error."
"Slide does not exists.","Slide does not exists."
"Slide was successfully deleted.","Slide was successfully deleted."
"Slide was successfully duplicated.","Slide was successfully duplicated."
"Slide was successfully saved.","Slide was successfully saved."
"Slider Information","Slider Information"
"Slider Properties","Slider Properties"
"Slider could not be deleted for some error.","Slider could not be deleted for some error."
"Slider could not be duplicated for some error.","Slider could not be duplicated for some error."
"Slider could not be saved for some error.","Slider could not be saved for some error."
"Slider does not exists.","Slider does not exists."
"Slider was successfully deleted.","Slider was successfully deleted."
"Slider was successfully duplicated.","Slider was successfully duplicated."
"Slider was successfully saved.","Slider was successfully saved."
"Slides","Slides"
"Status","Status"
"Store View","Store View"
"Studio","Studio"
"Style","Style"
"Subway","Subway"
"Swing","Swing"
"Ticker Properties","Ticker Properties"
"Ticker Speed","Ticker Speed"
"Ticker","Ticker"
"Title","Title"
"Total %d records found","Total %d records found"
"Type","Type"
"Unselect All","Unselect All"
"Unselect Visible","Unselect Visible"
"Update Slides Visibility","Update Slides Visibility"
"Update Status","Update Status"
"Update","Update"
"Updated At","Updated At"
"Updated at","Updated at"
"Vertical","Vertical"
"View","View"
"Visibility Settings","Visibility Settings"
"Visibility","Visibility"
"Visible in","Visible in"
"Visible","Visible"
"Width","Width"
"Width:","Width:"
"Will be hidden %s","Will be hidden %s"
"Will be published %s","Will be published %s"
"XML Layout Update Snippet","XML Layout Update Snippet"
"Yes","Yes"
"Zoom","Zoom"
"cm","cm"
"em","em"
"ex","ex"
"in milliseconds","in milliseconds"
"in","in"
"items selected","items selected"
"mm","mm"
"of %s pages","of %s pages"
"pc","pc"
"per page","per page"
"pt","pt"
"px","px"
